	pielou_e
F03	0.5749680993339313
F04	0.47448925823572957
F05	0.6155892246264629
F07	0.7280967771122958
F09	0.5993958175926485
F100	0.650658497858138
F101	0.6814612266008356
F102	0.6361461949546264
F103	0.4892056472643185
F107	0.49084992653216386
F108	0.5819708473887777
F10	0.7112950244003045
F111	0.731728055666082
F112	0.6291766370967572
F113	0.5839219765824304
F114	0.3721391311232372
F116	0.6440939700867973
F123	0.6524360600717595
F127	0.6470215393923222
F128	0.6206044392518605
F130	0.6667854424507759
F132	0.7223966419169356
F134	0.7231008693395471
F140	0.7503595842044971
F147	0.5297785667800878
F149	0.4891835800120674
F151	0.6047526046557936
F154	0.6288864731491788
F155	0.5197470696635178
F158	0.743644592222642
F159	0.6691019603758968
F160	0.638549565619968
F161	0.6284333175142889
F162	0.41820512542642124
F165	0.6699070914474116
F16	0.6104698568460372
F170	0.6304510013427926
F172	0.5500004911453076
F173	0.6115979836218725
F183	0.6662112187554232
F187	0.6883002921916693
F188	0.6251700052070737
F18	0.527511036490786
F190	0.6176276767775946
F194	0.6217730149127279
F195	0.6462504713329322
F198	0.5974067196602183
F199	0.5713776159979089
F19	0.6017542817781855
F201	0.5749981754156142
F205	0.6448994042686892
F207	0.6917468582269817
F208	0.5732876583709983
F211	0.568346629359955
F216	0.7188614698841457
F217	0.6548848320308165
F21	0.6666152425229237
F222	0.7087907809069034
F223	0.682357750705379
F224	0.5590907240618181
F226	0.6427850863635581
F230	0.5577574179389412
F232	0.4943497632033972
F233	0.5919419042928575
F235	0.5722122038902175
F237	0.6347482257594569
F239	0.5656323086762817
F248	0.6565916827459995
F24	0.6795936510180154
F252	0.6041071192703493
F255	0.6431646027922431
F259	0.4476802283858631
F266	0.6569060111795041
F267	0.5577232809137327
F26	0.6100748761673134
F272	0.6042661368858645
F274	0.6891069822046049
F278	0.43221843408814553
F279	0.6252900829777424
F281	0.45470291097528087
F286	0.6523477932788421
F287	0.23619944189208789
F288	0.5252012130495323
F28	0.6560897687331453
F291	0.6042606700856425
F293	0.26128795055537724
F294	0.7151722636356171
F295	0.43238668171141037
F297	0.5469599738090711
F299	0.5996009599576818
F29	0.5878913455019625
F303	0.5678915695539556
F30	0.6275729855928193
F313	0.6504604118741707
F319	0.6226663885847118
F31	0.5957904276504911
F320	0.6948159247533426
F321	0.6271257916641648
F327	0.5791877220722791
F329	0.5016630422852525
F32	0.5123176886076878
F334	0.6713760273623148
F338	0.6272989347486274
F33	0.3121954046640089
F346	0.5861353043817439
F34	0.7110234621568298
F356	0.6169791844643381
F358	0.7399987897950198
F359	0.20592246641840173
F367	0.6412114629853527
F36	0.6313275114672094
F372	0.6601802144629798
F374	0.6099647655136555
F375	0.6662972814612222
F376	0.6871074351471548
F377	0.607954536381918
F378	0.73631159368487
F384	0.7096749796495151
F386	0.7605303730026262
F390	0.6053894813407185
F39	0.6958187456863779
