	observed_otus
F03	228
F04	185
F05	163
F07	262
F09	112
F100	276
F101	189
F102	181
F103	152
F107	216
F108	130
F10	192
F111	109
F112	194
F113	140
F114	122
F116	137
F123	151
F127	127
F128	192
F130	163
F132	239
F134	186
F140	216
F147	136
F149	114
F151	186
F154	132
F155	104
F158	242
F159	248
F160	161
F161	184
F162	112
F165	150
F16	140
F170	159
F172	127
F173	171
F183	209
F187	245
F188	142
F18	239
F190	180
F194	251
F195	162
F198	131
F199	146
F19	131
F201	118
F205	164
F207	243
F208	188
F211	148
F216	150
F217	155
F21	147
F222	239
F223	230
F224	179
F226	220
F230	100
F232	173
F233	95
F235	114
F237	117
F239	166
F248	168
F24	294
F252	196
F255	197
F259	156
F266	185
F267	156
F26	190
F272	147
F274	239
F278	90
F279	216
F281	119
F286	220
F287	66
F288	182
F28	224
F291	120
F293	112
F294	221
F295	110
F297	143
F299	164
F29	123
F303	143
F30	269
F313	172
F319	206
F31	104
F320	323
F321	189
F327	111
F329	176
F32	171
F334	240
F338	165
F33	102
F346	134
F34	207
F356	155
F358	309
F359	125
F367	145
F36	152
F372	96
F374	168
F375	181
F376	184
F377	143
F378	276
F384	193
F386	303
F390	115
F39	226
F40	94
F42	143
F45	97
F46	94
F47	192
F50	150
F53	123
F54	111
F55	129
F56	307
F57	195
F58	157
F61	178
F62	213
F65	139
F67	200
F72	127
F76	127
F77	109
F79	137
F85	72
F89	251
F90	192
F91	202
F94	213
F96	176
F98	216
L03	317
L04	410
L102	50
L103	41
L107	58
L108	60
L123	88
L128	49
L130	45
L132	252
L134	141
L140	63
L147	39
L149	132
L158	42
L160	272
L161	71
L162	54
L165	36
L170	303
L183	270
L188	38
L18	293
L190	35
L195	57
L201	53
L208	117
L216	49
L21	254
L222	40
L226	176
L237	43
L239	66
L248	53
L24	231
L252	42
L279	79
L287	59
L288	44
L293	66
L297	282
L303	139
L30	121
L319	314
L31	142
L320	287
L327	72
L32	285
L359	356
L367	236
L36	183
L372	252
L374	324
L375	226
L376	401
L377	295
L378	279
L390	226
L61	168
L72	117
L76	49
L89	44
L96	101
M03	211
M04	273
M07	289
M09	319
M103	51
M10	255
M112	111
M113	178
M114	198
M132	119
M134	253
M140	248
M149	203
M151	256
M155	267
M158	245
M159	285
M161	285
M162	231
M165	317
M16	218
M170	205
M172	356
M173	257
M183	284
M188	185
M18	198
M208	231
M21	229
M223	53
M232	193
M237	67
M24	207
M29	296
M303	116
M319	152
M31	314
M32	250
M334	96
M358	121
M359	71
M367	266
M36	253
M372	89
M374	326
M375	235
M376	371
M377	142
M384	242
M386	4
M390	40
M39	318
M40	284
M42	263
M47	263
M54	262
M55	341
M56	289
M57	18
M58	24
M62	257
M65	74
M67	368
M72	244
M90	55
